NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE, NOTES
UNITID: 
Unit ID for institution,root,id,integer,UNITID,,,IPEDS,Shown/used on consumer website.
OPEID: 
8-digit OPE ID for institution,root,ope8_id,integer,OPEID,,,IPEDS,Shown/used on consumer website.
OPEID6: 
6-digit OPE ID for institution,root,ope6_id,integer,OPEID6,,,IPEDS,Shown/used on consumer website.
INSTNM: 
Institution name,school,name,autocomplete,INSTNM,,,IPEDS,Shown/used on consumer website.
CITY: 
City,school,city,autocomplete,CITY,,,IPEDS,Shown/used on consumer website.
STABBR: 
State postcode,school,state,string,STABBR,,,IPEDS,Shown/used on consumer website.
INSTURL: 
URL for institution's homepage,school,school_url,string,INSTURL,,,IPEDS,Shown/used on consumer website.
NPCURL: 
URL for institution's net price calculator,school,price_calculator_url,string,NPCURL,,,IPEDS,Shown/used on consumer website.
HCM2: 
Schools that are on Heightened Cash Monitoring 2 by the Department of Education,school,under_investigation,integer,HCM2,,,FSA,Shown/used on consumer website;    Flag (1=HCM2)
PREDDEG: 
 4 Entirely graduate-degree granting",school,degrees_awarded.predominant,integer,PREDDEG,0,Not classified,IPEDS,Shown/used on consumer website.
	,school,,,,1,Predominantly certificate-degree granting,,
	,school,,,,2,Predominantly associate's-degree granting,,
	,school,,,,3,Predominantly bachelor's-degree granting,,
	,school,,,,4,Entirely graduate-degree granting,,
HIGHDEG: 
 4 Graduate degree",school,degrees_awarded.highest,integer,HIGHDEG,0,Non-degree-granting,IPEDS,Shown/used on consumer website.
	,school,,,,1,Certificate degree,,
	,school,,,,2,Associate degree,,
	,school,,,,3,Bachelor's degree,,
	,school,,,,4,Graduate degree,,
CONTROL: 
Control of institution,school,ownership,integer,CONTROL,1,Public,IPEDS,Shown/used on consumer website.
	,school,,,,2,Private nonprofit,,
	,school,,,,3,Private for-profit,,
LOCALE: 
Locale of institution,school,locale,integer,LOCALE,11,"City: Large (population of 250,000 or more)",IPEDS,Shown/used on consumer website.
	,school,,,,12,"City: Midsize (population of at least 100,000 but less than 250,000)",,
	,school,,,,13,"City: Small (population less than 100,000)",,
	,school,,,,21,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)",,
	,school,,,,22,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)",,
	,school,,,,23,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)",,
	,school,,,,31,Town: Fringe (in urban cluster up to 10 miles from an urbanized area),,
	,school,,,,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area),,
	,school,,,,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area),,
	,school,,,,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster),,
	,school,,,,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster),,
	,school,,,,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster),,
HBCU: 
Flag for Historically Black College and University,school,minority_serving.historically_black,integer,HBCU,0,No,ED,Shown/used on consumer website.
	,,,,,1,Yes,,
PBI: 
Flag for predominantly black institution,school,minority_serving.predominantly_black,integer,PBI,0,No,OPE,Shown/used on consumer website.
	,,,,,1,Yes,,
ANNHI: 
Flag for Alaska Native Native Hawaiian serving institution,school,minority_serving.annh,integer,ANNHI,0,No,OPE,Shown/used on consumer website.
	,,,,,1,Yes,,
TRIBAL: 
Flag for tribal college and university,school,minority_serving.tribal,integer,TRIBAL,0,No,OPE,Shown/used on consumer website.
	,,,,,1,Yes,,
AANAPII: 
Flag for Asian American Native American Pacific Islander-serving institution,school,minority_serving.aanipi,integer,AANAPII,0,No,OPE,Shown/used on consumer website.
	,,,,,1,Yes,,
HSI: 
Flag for Hispanic-serving institution,school,minority_serving.hispanic,integer,HSI,0,No,OPE,Shown/used on consumer website.
	,,,,,1,Yes,,
NANTI: 
Flag for Native American non-tribal institution,school,minority_serving.nant,integer,NANTI,0,No,OPE,Shown/used on consumer website.
	,,,,,1,Yes,,
MENONLY: 
Flag for men-only college,school,men_only,integer,MENONLY,0,No,IPEDS,Shown/used on consumer website.
	,,,,,1,Yes,,
WOMENONLY: 
Flag for women-only college,school,women_only,integer,WOMENONLY,0,No,IPEDS,Shown/used on consumer website.
	,,,,,1,Yes,,
RELAFFIL: 
Religous affiliation of the institution,school,religious_affiliation,integer,RELAFFIL,-1,Not reported,IPEDS,Shown/used on consumer website.
	,,,,,-2,Not applicable,,
	,,,,,22,American Evangelical Lutheran Church,,
	,,,,,24,African Methodist Episcopal Zion Church,,
	,,,,,27,Assemblies of God Church,,
	,,,,,28,Brethren Church,,
	,,,,,30,Roman Catholic,,
	,,,,,33,Wisconsin Evangelical Lutheran Synod,,
	,,,,,34,Christ and Missionary Alliance Church,,
	,,,,,35,Christian Reformed Church,,
	,,,,,36,Evangelical Congregational Church,,
	,,,,,37,Evangelical Covenant Church of America,,
	,,,,,38,Evangelical Free Church of America,,
	,,,,,39,Evangelical Lutheran Church,,
	,,,,,40,International United Pentecostal Church,,
	,,,,,41,Free Will Baptist Church,,
	,,,,,42,Interdenominational,,
	,,,,,43,Mennonite Brethren Church,,
	,,,,,44,Moravian Church,,
	,,,,,45,North American Baptist,,
	,,,,,47,Pentecostal Holiness Church,,
	,,,,,48,Christian Churches and Churches of Christ,,
	,,,,,49,Reformed Church in America,,
	,,,,,50,"Episcopal Church, Reformed",,
	,,,,,51,African Methodist Episcopal,,
	,,,,,52,American Baptist,,
	,,,,,53,American Lutheran,,
	,,,,,54,Baptist,,
	,,,,,55,Christian Methodist Episcopal,,
	,,,,,57,Church of God,,
	,,,,,58,Church of Brethren,,
	,,,,,59,Church of the Nazarene,,
	,,,,,60,Cumberland Presbyterian,,
	,,,,,61,Christian Church (Disciples of Christ),,
	,,,,,64,Free Methodist,,
	,,,,,65,Friends,,
	,,,,,66,Presbyterian Church (USA),,
	,,,,,67,Lutheran Church in America,,
